q_id,q_name,p_id,p_name,p_value,p_value_type
Q23,George Washington,P106,occupation,politician,wikibase-item
Q23,George Washington,P237,coat of arms,coat of arms of George Washington,wikibase-item
Q23,George Washington,P373,Commons category,George Washington,string
Q23,George Washington,P166,award received,Thanks of Congress,wikibase-item
Q23,George Washington,P119,place of burial,Mount Vernon,wikibase-item
Q23,George Washington,P39,position held,President of the United States,wikibase-item
Q23,George Washington,P410,military rank,major general,wikibase-item
Q23,George Washington,P735,given name,George,wikibase-item
Q23,George Washington,P241,military branch,Continental Army,wikibase-item
Q23,George Washington,P607,conflict,American Revolutionary War,wikibase-item
Q23,George Washington,P910,topic's main category,Category:George Washington,wikibase-item
Q23,George Washington,P734,family name,Washington,wikibase-item
Q23,George Washington,P361,part of,Founding Fathers of the United States,wikibase-item
Q23,George Washington,P1196,manner of death,natural causes,wikibase-item
Q23,George Washington,P103,native language,English,wikibase-item
Q23,George Washington,P1971,number of children,0.0,quantity
Q23,George Washington,P935,Commons gallery,George Washington,string
Q23,George Washington,P1343,described by source,Armenian Soviet Encyclopedia,wikibase-item
Q23,George Washington,P1412,"languages spoken, written or signed",English,wikibase-item
Q23,George Washington,P102,member of political party,independent politician,wikibase-item
Q23,George Washington,P1472,Commons Creator page,George Washington,string
Q23,George Washington,P4602,date of burial or cremation,"December 18, 1799 at 12:00:00 AM CE UTC",time
Q23,George Washington,P2048,height,74.0,quantity
Q23,George Washington,P5008,on focus list of Wikimedia project,Wikipedia:List of articles all languages should have,wikibase-item
Q23,George Washington,P21,sex or gender,male,wikibase-item
Q23,George Washington,P1830,owner of,Blueskin,wikibase-item
Q23,George Washington,P31,instance of,human,wikibase-item
Q23,George Washington,P3091,mount,Blueskin,wikibase-item
Q23,George Washington,P6886,writing language,English,wikibase-item
Q23,George Washington,P485,archives at,Louis Round Wilson Library,wikibase-item
Q23,George Washington,P1050,medical condition,anthrax,wikibase-item
Q23,George Washington,P3602,candidacy in election,1792 United States presidential election,wikibase-item
Q23,George Washington,P7763,copyright status as a creator,copyrights on works have expired,wikibase-item
Q23,George Washington,P1299,depicted by,George Washington,wikibase-item
Q23,George Washington,P53,family,Washington family,wikibase-item
Q23,George Washington,P9493,artist files at,Smithsonian American Art and Portrait Gallery Library,wikibase-item
Q23,George Washington,P6379,has works in the collection,Royal Collections of the Netherlands,wikibase-item
Q23,George Washington,P7084,related category,Category:Works by George Washington,wikibase-item
Q23,George Washington,P1424,topic's main template,Template:George Washington,wikibase-item
Q23,George Washington,P1441,present in work,Civilization V,wikibase-item
Q23,George Washington,P3716,social classification,slave owner,wikibase-item
Q23,George Washington,P511,honorific prefix,General,wikibase-item
Q23,George Washington,P1889,different from,Washington,wikibase-item
Q42,Douglas Adams,P31,instance of,human,wikibase-item
Q42,Douglas Adams,P21,sex or gender,male,wikibase-item
Q42,Douglas Adams,P106,occupation,playwright,wikibase-item
Q42,Douglas Adams,P800,notable work,The Hitchhiker's Guide to the Galaxy pentalogy,wikibase-item
Q42,Douglas Adams,P1196,manner of death,natural causes,wikibase-item
Q42,Douglas Adams,P119,place of burial,Highgate Cemetery,wikibase-item
Q42,Douglas Adams,P735,given name,Douglas,wikibase-item
Q42,Douglas Adams,P734,family name,Adams,wikibase-item
Q42,Douglas Adams,P103,native language,English,wikibase-item
Q42,Douglas Adams,P373,Commons category,Douglas Adams,string
Q42,Douglas Adams,P1411,nominated for,Hugo Award for Best Dramatic Presentation,wikibase-item
Q42,Douglas Adams,P910,topic's main category,Category:Douglas Adams,wikibase-item
Q42,Douglas Adams,P1303,instrument,guitar,wikibase-item
Q42,Douglas Adams,P2048,height,1.96,quantity
Q42,Douglas Adams,P136,genre,science fiction,wikibase-item
Q42,Douglas Adams,P1412,"languages spoken, written or signed",English,wikibase-item
Q42,Douglas Adams,P485,archives at,St John's College Library,wikibase-item
Q42,Douglas Adams,P1343,described by source,Obalky knih.cz,wikibase-item
Q42,Douglas Adams,P6886,writing language,English,wikibase-item
Q42,Douglas Adams,P1424,topic's main template,Template:Douglas Adams,wikibase-item
Q42,Douglas Adams,P2021,Erdős number,10.0,quantity
Q42,Douglas Adams,P7763,copyright status as a creator,works protected by copyrights,wikibase-item
Q42,Douglas Adams,P1889,different from,Douglas Adams,wikibase-item
Q42,Douglas Adams,P172,ethnic group,White British,wikibase-item
Q42,Douglas Adams,P937,work location,London,wikibase-item
Q42,Douglas Adams,P742,pseudonym,David Agnew,string
Q42,Douglas Adams,P1340,eye color,brown,wikibase-item
Q42,Douglas Adams,P101,field of work,science fiction literature,wikibase-item
Q42,Douglas Adams,P166,award received,Inkpot Award,wikibase-item
