q_id,q_name,p_id,p_name,p_value,p_value_type
Q31,Belgium,P1344,participant in,Battle of the Lys,wikibase-item
Q31,Belgium,P1082,population,11150516.0,quantity
Q31,Belgium,P1151,topic's main Wikimedia portal,Portal:Belgium,wikibase-item
Q31,Belgium,P1546,motto,Unity makes strength,wikibase-item
Q31,Belgium,P5125,Wikimedia outline,outline of Belgium,wikibase-item
Q31,Belgium,P38,currency,euro,wikibase-item
Q31,Belgium,P487,Unicode character,🇧🇪,string
Q31,Belgium,P1792,category of associated people,Category:Belgian people,wikibase-item
Q31,Belgium,P2852,emergency phone number,112,wikibase-item
Q31,Belgium,P2853,electrical plug type,Europlug,wikibase-item
Q31,Belgium,P395,licence plate code,B,string
Q31,Belgium,P3238,trunk prefix,0,string
Q31,Belgium,P2633,geography of topic,geography of Belgium,wikibase-item
Q31,Belgium,P1313,office held by head of government,Prime Minister of Belgium,wikibase-item
Q31,Belgium,P3529,median income,31112.0,quantity
Q31,Belgium,P417,patron saint,Joseph,wikibase-item
Q31,Belgium,P2959,permanent duplicated item,Q25929919,wikibase-item
Q31,Belgium,P122,basic form of government,constitutional monarchy,wikibase-item
Q31,Belgium,P1552,has characteristic,free country,wikibase-item
Q31,Belgium,P2573,number of out-of-school children,8330.0,quantity
Q31,Belgium,P793,significant event,Belgian Revolution,wikibase-item
Q31,Belgium,P530,diplomatic relation,Luxembourg,wikibase-item
Q31,Belgium,P1906,office held by head of state,Monarch of the Belgians,wikibase-item
Q31,Belgium,P935,Commons gallery,België / Belgique / Belgien,string
Q31,Belgium,P194,legislative body,Belgian Federal Parliament,wikibase-item
Q31,Belgium,P2184,history of topic,history of Belgium,wikibase-item
Q31,Belgium,P37,official language,Dutch,wikibase-item
Q31,Belgium,P30,continent,Europe,wikibase-item
Q31,Belgium,P36,capital,City of Brussels,wikibase-item
Q31,Belgium,P237,coat of arms,coat of arms of Belgium,wikibase-item
Q31,Belgium,P3271,compulsory education (maximum age),18.0,quantity
Q31,Belgium,P2258,mobile country code,206,string
Q31,Belgium,P4841,total fertility rate,1.62,quantity
Q31,Belgium,P2979,maritime identification digits,205,string
Q31,Belgium,P3270,compulsory education (minimum age),6.0,quantity
Q31,Belgium,P3001,retirement age,65.0,quantity
Q31,Belgium,P3000,marriageable age,18.0,quantity
Q31,Belgium,P910,topic's main category,Category:Belgium,wikibase-item
Q31,Belgium,P35,head of state,Érasme-Louis Surlet de Chokier,wikibase-item
Q31,Belgium,P1791,category of people buried here,Category:Burials in Belgium,wikibase-item
Q31,Belgium,P2997,age of majority,18.0,quantity
Q31,Belgium,P5008,on focus list of Wikimedia project,WikiProject Zika Corpus,wikibase-item
Q31,Belgium,P6,head of government,Sophie Wilmès,wikibase-item
Q31,Belgium,P1198,unemployment rate,8.0,quantity
Q31,Belgium,P5658,railway traffic side,left,wikibase-item
Q31,Belgium,P1740,category for films shot at this location,Category:Films shot in Belgium,wikibase-item
Q31,Belgium,P2884,mains voltage,230.0,quantity
Q31,Belgium,P208,executive body,Federal Government of Belgium,wikibase-item
Q31,Belgium,P2238,official symbol,Papaver rhoeas,wikibase-item
Q31,Belgium,P1465,category for people who died here,Category:Deaths in Belgium,wikibase-item
Q31,Belgium,P85,anthem,The Brabançonne,wikibase-item
Q31,Belgium,P209,highest judicial authority,Constitutional Court of Belgium,wikibase-item
Q31,Belgium,P2250,life expectancy,77.61951,quantity
Q31,Belgium,P361,part of,Allies of the First World War,wikibase-item
Q31,Belgium,P373,Commons category,Belgium,string
Q31,Belgium,P78,top-level Internet domain,.be,wikibase-item
Q31,Belgium,P2046,area,30528.0,quantity
Q31,Belgium,P47,shares border with,Germany,wikibase-item
Q31,Belgium,P31,instance of,sovereign state,wikibase-item
Q31,Belgium,P610,highest point,Signal de Botrange,wikibase-item
Q31,Belgium,P1464,category for people born here,Category:Births in Belgium,wikibase-item
Q31,Belgium,P2927,water as percent of area,0.8,quantity
Q31,Belgium,P1622,driving side,right,wikibase-item
Q31,Belgium,P1589,lowest point,De Moeren,wikibase-item
Q31,Belgium,P150,contains the administrative territorial entity,Flemish Region,wikibase-item
Q31,Belgium,P474,country calling code,+32,string
Q31,Belgium,P138,named after,Belgae,wikibase-item
Q31,Belgium,P163,flag,flag of Belgium,wikibase-item
Q31,Belgium,P1343,described by source,Catholic Encyclopedia,wikibase-item
Q31,Belgium,P5982,annual number of weddings,44725.0,quantity
Q31,Belgium,P92,main regulatory text,Constitution of Belgium,wikibase-item
Q31,Belgium,P6104,maintained by WikiProject,WikiProject Belgium,wikibase-item
Q31,Belgium,P527,has part(s),Flanders,wikibase-item
Q31,Belgium,P1304,central bank,National Bank of Belgium,wikibase-item
Q31,Belgium,P2936,language used,West Flemish,wikibase-item
Q31,Belgium,P6363,WordLift URL,http://data.thenextweb.com/tnw/entity/belgium,url
Q31,Belgium,P6897,literacy rate,99.0,quantity
Q31,Belgium,P3864,suicide rate,20.7,quantity
Q31,Belgium,P3067,GS1 country code,540-549,string
Q31,Belgium,P2596,culture,culture of Belgium,wikibase-item
Q31,Belgium,P7867,category for maps,Category:Maps of Belgium,wikibase-item
Q31,Belgium,P8402,open data portal,data.gov.be,wikibase-item
Q31,Belgium,P1365,replaces,United Kingdom of the Netherlands,wikibase-item
Q31,Belgium,P8744,economy of topic,economy of Belgium,wikibase-item
Q31,Belgium,P6592,OpenStreetMap zoom level,7,string
Q31,Belgium,P9241,demographics of topic,demographics of Belgium,wikibase-item
Q31,Belgium,P8328,Democracy Index,7.51,quantity
Q31,Belgium,P8843,poverty incidence,14.8,quantity
Q31,Belgium,P8687,social media followers,56881.0,quantity
Q31,Belgium,P1889,different from,Belgium,wikibase-item
Q31,Belgium,P6591,maximum temperature record,41.8,quantity
Q31,Belgium,P832,public holiday,New Year's Day,wikibase-item
Q31,Belgium,P5991,carbon footprint,115996000.0,quantity
Q31,Belgium,P7422,minimum temperature record,-30.1,quantity
Q31,Belgium,P1424,topic's main template,Template:Subdivisions of Belgium,wikibase-item
Q31,Belgium,P2131,nominal GDP,599880000000.0,quantity
Q31,Belgium,P1081,Human Development Index,0.816,quantity
Q31,Belgium,P2855,VAT rate,0.0,quantity
Q31,Belgium,P10280,category for honorary citizens of entity,Category:Honorary citizens of Belgium,wikibase-item
Q31,Belgium,P2572,hashtag,Belgium,string
Q31,Belgium,P206,located in or next to body of water,North Sea,wikibase-item
Q31,Belgium,P706,located in/on physical feature,Western Europe,wikibase-item
Q31,Belgium,P1125,Gini coefficient,27.2,quantity
Q31,Belgium,P11547,Happy Planet Index score,42.5,quantity
Q31,Belgium,P11593,Inequality-adjusted Human Development Index,0.84,quantity
Q31,Belgium,P17,country,Belgium,wikibase-item
Q31,Belgium,P1830,owner of,Memorial interallié de Cointe,wikibase-item
Q31,Belgium,P421,located in time zone,UTC+01:00,wikibase-item
Q31,Belgium,P898,IPA transcription,ˈbɛlʤəm,string
Q23,George Washington,P106,occupation,politician,wikibase-item
Q23,George Washington,P237,coat of arms,coat of arms of George Washington,wikibase-item
Q23,George Washington,P373,Commons category,George Washington,string
Q23,George Washington,P166,award received,Thanks of Congress,wikibase-item
Q23,George Washington,P119,place of burial,Mount Vernon,wikibase-item
Q23,George Washington,P39,position held,President of the United States,wikibase-item
Q23,George Washington,P410,military rank,major general,wikibase-item
Q23,George Washington,P735,given name,George,wikibase-item
Q23,George Washington,P241,military branch,Continental Army,wikibase-item
Q23,George Washington,P607,conflict,American Revolutionary War,wikibase-item
Q23,George Washington,P910,topic's main category,Category:George Washington,wikibase-item
Q23,George Washington,P734,family name,Washington,wikibase-item
Q23,George Washington,P361,part of,Founding Fathers of the United States,wikibase-item
Q23,George Washington,P1196,manner of death,natural causes,wikibase-item
Q23,George Washington,P103,native language,English,wikibase-item
Q23,George Washington,P1971,number of children,0.0,quantity
Q23,George Washington,P935,Commons gallery,George Washington,string
Q23,George Washington,P1343,described by source,Armenian Soviet Encyclopedia,wikibase-item
Q23,George Washington,P1412,"languages spoken, written or signed",English,wikibase-item
Q23,George Washington,P102,member of political party,independent politician,wikibase-item
Q23,George Washington,P1472,Commons Creator page,George Washington,string
Q23,George Washington,P4602,date of burial or cremation,"December 18, 1799 at 12:00:00 AM CE UTC",time
Q23,George Washington,P2048,height,74.0,quantity
Q23,George Washington,P5008,on focus list of Wikimedia project,Wikipedia:List of articles all languages should have,wikibase-item
Q23,George Washington,P21,sex or gender,male,wikibase-item
Q23,George Washington,P1830,owner of,Blueskin,wikibase-item
Q23,George Washington,P31,instance of,human,wikibase-item
Q23,George Washington,P3091,mount,Blueskin,wikibase-item
Q23,George Washington,P6886,writing language,English,wikibase-item
Q23,George Washington,P485,archives at,Louis Round Wilson Library,wikibase-item
Q23,George Washington,P1050,medical condition,anthrax,wikibase-item
Q23,George Washington,P3602,candidacy in election,1792 United States presidential election,wikibase-item
Q23,George Washington,P7763,copyright status as a creator,copyrights on works have expired,wikibase-item
Q23,George Washington,P1299,depicted by,George Washington,wikibase-item
Q23,George Washington,P53,family,Washington family,wikibase-item
Q23,George Washington,P9493,artist files at,Smithsonian American Art and Portrait Gallery Library,wikibase-item
